20221107	11:20:22	b53abb36-18f4-4302-bb0a-5a4bd7f9a133	POST	undefined	/auth
20221107	11:21:49	b7e97306-d6aa-415c-b479-ef5ea857a0ea	GET	undefined	/refresh
20221107	11:41:43	cef2a3ac-c2c6-4f0f-8940-68c0eb4f1a83	POST	undefined	/auth
20221107	11:42:05	94c33ae5-49d4-4b82-b0da-7af4b94d08f4	GET	undefined	/logout
20221108	10:08:49	63a1fd37-0070-4d44-a0c4-732912062e9c	POST	undefined	/auth
20221108	10:10:06	8cdaf6f7-3b27-4970-b2ef-91c348c9267b	POST	undefined	/auth
20221108	10:10:09	075f1b60-cb20-48d1-b46f-4e0eaa199494	POST	undefined	/auth
20221108	10:10:41	ece53825-07d1-43e5-b1fa-017eb114bb8a	POST	undefined	/employees
20221108	10:12:29	d15d785b-2b84-49ed-ba38-036cea08ab50	POST	undefined	/auth
20221108	10:13:40	d49b6bbc-6625-4d2d-bdc2-13138d5c5fe5	POST	undefined	/auth
20221108	10:14:04	dcd9b7a1-de28-4ec7-bf33-c22d67ec03b1	GET	undefined	/employees
20221108	10:14:12	505c2799-15fb-4029-a607-af0b7570acd7	POST	undefined	/employees
20221108	10:15:58	505612ea-b857-4acb-a093-826195b75b08	POST	undefined	/auth
20221108	10:16:08	45865ae1-6ff4-431d-ab73-812702fedd3c	POST	undefined	/employees
20221108	10:16:19	66319530-45f0-4846-9723-309e1ddc9d53	PUT	undefined	/employees
20221108	10:16:29	fb90b16c-2826-411e-8531-192318083941	DELETE	undefined	/employees
20221108	11:19:14	0d807c5b-6d73-4579-8677-071fa63058be	POST	undefined	/register
20221108	11:20:05	4907f6a2-6198-439a-a247-d757f2fb139e	POST	undefined	/register
20221108	16:44:31	b7a8ab33-ac81-40fe-a0db-e2918f2cab71	POST	undefined	/auth
20221108	16:45:15	4cfec4e3-afc6-4bab-a0dc-387091627bfc	POST	undefined	/auth
20221108	16:50:58	35275dec-c825-432a-94fc-6d6a134785f3	POST	undefined	/auth
20221108	16:51:06	c41bdb1b-0e12-4786-b8dc-b5313cc4e11a	GET	undefined	/employees
20221108	16:51:28	945e7c83-e164-4672-9be7-1c61d51baea3	GET	undefined	/employees
20221108	16:52:14	5c9fcca8-49b7-45df-99b9-ae36a418b2cb	POST	undefined	/auth
20221108	16:52:21	d6df8fcc-563b-46a8-8210-46d9c6af7479	GET	undefined	/employees
20221108	16:52:21	7da69261-054f-4615-bc8f-fa62bf87f96e	GET	undefined	/employees
20221108	16:52:28	45c3e1f4-47da-4b78-b993-a95661438e48	GET	undefined	/employees
20221108	16:52:29	13320b68-e808-40f2-beff-8a8433ee8dd6	GET	undefined	/employees
20221108	16:54:15	843daaf9-2108-40cf-bc2a-1f800072dfb1	POST	undefined	/auth
20221108	16:54:30	5f145d0a-9836-4d3f-9a39-9310c2783adc	POST	undefined	/auth
20221108	16:54:38	71b65fdd-2b86-4bde-a7c4-84aacbb8ef5a	GET	undefined	/employees
20221108	16:55:39	9732ad99-32eb-4900-9218-9e6695cfdccc	GET	undefined	/employees
20221108	16:55:43	4d3ea7af-f726-4f37-8bda-d53c893c1cbf	POST	undefined	/auth
20221108	16:55:49	d3c65cf9-ddee-4284-9fa1-b946ee3efb65	GET	undefined	/employees
20221108	16:56:42	a93f8f2a-d7c1-4151-b914-fad164a8f5f9	POST	undefined	/auth
20221108	16:56:48	b6a4e4dd-2681-4d4a-a47f-7cb787989ab9	GET	undefined	/employees
20221108	16:58:58	9022db46-d0b2-4baf-bbf2-ab97412e879c	POST	undefined	/auth
20221108	16:59:05	3c00213c-0729-4902-9399-eb2611e610c9	GET	undefined	/employees
